  I  J
 55 20
 57 20
 59 20
 61 20
 63 20
 65 20
 67 20
 69 20
 71 20
 73 20
 75 20
 77 20
 79 20
 81 20
 83 20
 85 20
 87 20
 89 20
 91 20
 93 20
 95 20
  1 22
  3 22
  5 22
  7 22
  9 22
 11 22
 13 22
 15 22
 17 22
 19 22
 21 22
 23 22
 25 22
 27 22
 29 22
 31 22
 33 22
 35 22
 37 22
 39 22
 41 22
 43 22
 45 22
 47 22
 49 22
 51 22
 53 22
 55 22
 57 22
 59 22
 61 22
 63 22
 65 22
 67 22
 69 22
 71 22
 73 22
 75 22
 77 22
 79 22
 81 22
 83 22
 85 22
 87 22
 89 22
 91 22
 93 22
 95 22
  1 24
  3 24
  5 24
  7 24
  9 24
 11 24
 13 24
 15 24
 17 24
 19 24
 21 24
 23 24
 25 24
 27 24
 29 24
 31 24
 33 24
 35 24
 37 24
 39 24
 41 24
 43 24
 45 24
 47 24
 49 24
 51 24
 53 24
 55 24
 57 24
 59 24
 61 24
 63 24
 65 24
 67 24
 69 24
 71 24
 73 24
 75 24
 77 24
 79 24
 81 24
 83 24
 85 24
 87 24
 89 24
 91 24
 93 24
 95 24
  1 26
  3 26
  5 26
  7 26
  9 26
 11 26
 13 26
 15 26
 17 26
 19 26
 21 26
 23 26
 25 26
 27 26
 29 26
 31 26
 33 26
 35 26
 37 26
 39 26
 41 26
 43 26
 45 26
 47 26
 49 26
 51 26
 53 26
 55 26
 57 26
 59 26
 61 26
 63 26
 65 26
 67 26
 69 26
 71 26
 73 26
 75 26
 77 26
 79 26
 81 26
 83 26
 85 26
 87 26
 89 26
 91 26
 93 26
 95 26
  1 28
  3 28
  5 28
  7 28
  9 28
 11 28
 13 28
 15 28
 17 28
 19 28
 21 28
 23 28
 25 28
 27 28
 29 28
 31 28
 33 28
 35 28
 37 28
 39 28
 41 28
 43 28
 45 28
 47 28
 49 28
 51 28
 53 28
 55 28
 57 28
 59 28
 61 28
 63 28
 65 28
 67 28
 69 28
 71 28
 73 28
 75 28
 77 28
 79 28
 81 28
 83 28
 85 28
 87 28
 89 28
 91 28
 93 28
 95 28
  1 30
  3 30
  5 30
  7 30
  9 30
 11 30
 13 30
 15 30
 17 30
 19 30
 21 30
 23 30
 25 30
 27 30
 29 30
 31 30
 33 30
 35 30
 37 30
 39 30
 41 30
 43 30
 45 30
 47 30
 49 30
 51 30
 53 30
 55 30
 57 30
 59 30
 61 30
 63 30
 65 30
 67 30
 69 30
 71 30
 73 30
 75 30
 77 30
 79 30
 81 30
 83 30
 85 30
 87 30
 89 30
 91 30
 93 30
 95 30
  1 32
  3 32
  5 32
  7 32
  9 32
 11 32
 13 32
 15 32
 17 32
 19 32
 21 32
 23 32
 25 32
 27 32
 29 32
 31 32
 33 32
 35 32
 37 32
 39 32
 41 32
 43 32
 45 32
 47 32
 49 32
 51 32
 53 32
 55 32
 57 32
 59 32
 61 32
 63 32
 65 32
 67 32
 69 32
 71 32
 73 32
 75 32
 77 32
 79 32
 81 32
 83 32
 85 32
 87 32
 89 32
 91 32
 93 32
 95 32
  1 34
  3 34
  5 34
  7 34
  9 34
 11 34
 13 34
 15 34
 17 34
 19 34
 21 34
 23 34
 25 34
 27 34
 29 34
 31 34
 33 34
 35 34
 37 34
 39 34
 41 34
 43 34
 45 34
 47 34
 49 34
 51 34
 53 34
 55 34
 57 34
 59 34
 61 34
 63 34
 65 34
 67 34
 69 34
 71 34
 73 34
 75 34
 77 34
 79 34
 81 34
 83 34
 85 34
 87 34
 89 34
 91 34
 93 34
 95 34
  1 36
  3 36
  5 36
  7 36
  9 36
 11 36
 13 36
 15 36
 17 36
 19 36
 21 36
 23 36
 25 36
 27 36
 29 36
 31 36
 33 36
 35 36
 37 36
 39 36
 41 36
 43 36
 45 36
 47 36
 49 36
 51 36
 53 36
 55 36
 57 36
 59 36
 61 36
 63 36
 65 36
 67 36
 69 36
 71 36
 73 36
 75 36
 77 36
 79 36
 81 36
 83 36
 85 36
 87 36
 89 36
 91 36
 93 36
 95 36
  1 38
  3 38
  5 38
  7 38
  9 38
 11 38
 13 38
 15 38
 17 38
 19 38
 21 38
 23 38
 25 38
 27 38
 29 38
 31 38
 33 38
 35 38
 37 38
 39 38
 41 38
 43 38
 45 38
 47 38
 49 38
 51 38
 53 38
 55 38
 57 38
 59 38
 61 38
 63 38
 65 38
 67 38
 69 38
 71 38
 73 38
 75 38
 77 38
 79 38
 81 38
 83 38
 85 38
 87 38
 89 38
 91 38
 93 38
 95 38
  1 40
  3 40
  5 40
  7 40
  9 40
 11 40
 13 40
 15 40
 17 40
 19 40
 21 40
 23 40
 25 40
 27 40
 29 40
 31 40
 33 40
 35 40
 37 40
 39 40
 41 40
 43 40
 45 40
 47 40
 49 40
 51 40
 53 40
 55 40
 57 40
 59 40
 61 40
 63 40
 65 40
 67 40
 69 40
 71 40
 73 40
 75 40
 77 40
 79 40
 81 40
 83 40
 85 40
 87 40
 89 40
 91 40
 93 40
 95 40
  1 42
  3 42
  5 42
  7 42
  9 42
 11 42
 13 42
 15 42
 17 42
 19 42
 21 42
 23 42
 25 42
 27 42
 29 42
 31 42
 33 42
 35 42
 37 42
 39 42
 41 42
 43 42
 45 42
 47 42
 49 42
 51 42
 53 42
 55 42
 57 42
 59 42
 61 42
 63 42
 65 42
 67 42
 69 42
 71 42
 73 42
 75 42
 77 42
 79 42
 81 42
 83 42
 85 42
 87 42
 89 42
 91 42
 93 42
 95 42
  1 44
  3 44
  5 44
  7 44
  9 44
 11 44
 13 44
 15 44
 17 44
 19 44
 21 44
 23 44
 25 44
 27 44
 29 44
 31 44
 33 44
 35 44
 37 44
 39 44
 41 44
 43 44
 45 44
 47 44
 49 44
 51 44
 53 44
 55 44
 57 44
 59 44
 61 44
 63 44
 65 44
 67 44
 69 44
 71 44
 73 44
 75 44
 77 44
 79 44
 81 44
 83 44
 85 44
 87 44
 89 44
 91 44
 93 44
 95 44
